Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1996","1996","tonnes","4720428","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1997","1997","tonnes","4861082","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1998","1998","tonnes","4860733","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1999","1999","tonnes","5048088","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2000","2000","tonnes","5204204","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2001","2001","tonnes","5132796","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2002","2002","tonnes","5245649","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2003","2003","tonnes","5237577","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2004","2004","tonnes","5525119","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2005","2005","tonnes","5470103","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2006","2006","tonnes","5740133","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2007","2007","tonnes","5894170","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2008","2008","tonnes","6037767","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2009","2009","tonnes","6036065","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2010","2010","tonnes","6253834","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2011","2011","tonnes","6449285","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2012","2012","tonnes","6602479","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2013","2013","tonnes","6671477","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2014","2014","tonnes","6759637","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2015","2015","tonnes","6952787","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2016","2016","tonnes","7251962","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","2017","2017","tonnes","7185304","A","Aggregate, may include official, semi-official, estimated or calculated data",""
